Ticker,Instrumento,Peso_Sugerido,Retorno_Esperado,TEM,TNA
VALO.BA,RV_Local,0.145,0.66,0.0,0.0
ALUA.BA,RV_Local,0.1385,0.61,0.0,0.0
BHIP.BA,RV_Local,0.1367,0.6,0.0,0.0
TGNO4.BA,RV_Local,0.1202,0.47,0.0,0.0
TECO2.BA,RV_Local,0.1096,0.38,0.0,0.0
MUFG,RV_Global,0.0341,1.14,0.0,0.0
KB,RV_Global,0.034,1.14,0.0,0.0
TRV,RV_Global,0.0299,1.01,0.0,0.0
LMT,RV_Global,0.0263,0.88,0.0,0.0
NMR,RV_Global,0.0258,0.86,0.0,0.0
DICP,RF_Local_Pesos (Discount (CER 2033)),0.0268,0.0763,0.0361,0.0763
TZX28,RF_Local_Pesos (BONCER Jun-28 (CER)),0.0268,0.0673,0.0354,0.0673
TZXD7,RF_Local_Pesos (BONCER Dic-27 (CER)),0.0268,0.0447,0.0337,0.0447
AE38,RF_Local_HD (Soberano HD Ley Arg LP),0.0399,0.1051,0.0084,0.1051
GD38,RF_Local_HD (Soberano HD Ley NY (38)),0.0399,0.1077,0.0086,0.1077
BA37D,RF_Local_HD (Prov. Buenos Aires (37)),0.0399,0.1208,0.0095,0.1208
